Name,Gauss Notation
3_1,"[2, 0, 1, 3]"
6_1,"[2, 4, 0, 5, 1, 3]"
7_4,"[4, 5, 6, 1, 0, 3, 2, 7]"
7_7,"[4, 3, 6, 5, 0, 1, 2, 7]"
8_5,"[3, 6, 0, 1, 7, 2, 4, 5]"
8_10,"[6, 4, 5, 7, 2, 0, 3, 1]"
8_11,"[4, 7, 6, 5, 0, 1, 2, 3]"
8_15,"[3, 6, 0, 2, 7, 4, 1, 5]"
8_18,"[6, 7, 0, 1, 2, 3, 4, 5]"
8_19,"[6, 4, 5, 7, 2, 0, 3, 1]"
8_20,"[3, 6, 0, 2, 7, 4, 1, 5]"
8_21,"[3, 6, 0, 2, 7, 4, 1, 5]"
9_1,"[5, 6, 7, 8, 0, 1, 2, 3, 4, 9]"
9_2,"[3, 6, 1, 0, 8, 7, 2, 5, 4, 9]"
9_4,"[6, 5, 7, 8, 2, 1, 0, 3, 4, 9]"
9_6,"[3, 6, 1, 7, 8, 0, 2, 4, 5, 9]"
9_10,"[5, 6, 7, 8, 1, 0, 3, 2, 4, 9]"
9_11,"[3, 6, 7, 5, 8, 1, 2, 0, 4, 9]"
9_15,"[4, 3, 7, 1, 6, 8, 2, 0, 5, 9]"
9_16,"[4, 3, 7, 0, 1, 8, 2, 5, 6, 9]"
9_17,"[4, 5, 7, 0, 6, 1, 8, 2, 3, 9]"
9_23,"[7, 5, 1, 8, 6, 2, 3, 0, 4, 9]"
9_24,"[5, 8, 1, 7, 6, 0, 3, 4, 2, 9]"
9_28,"[2, 7, 4, 6, 8, 3, 1, 0, 5, 9]"
9_29,"[4, 8, 5, 1, 7, 2, 0, 3, 6, 9]"
9_34,"[6, 8, 7, 1, 2, 3, 0, 5, 4, 9]"
9_35,"[5, 7, 6, 8, 1, 0, 2, 4, 3, 9]"
9_37,"[4, 6, 8, 5, 0, 7, 1, 3, 2, 9]"
9_38,"[6, 4, 7, 1, 8, 2, 0, 5, 3, 9]"
9_40,"[3, 8, 7, 6, 2, 1, 0, 5, 4, 9]"
9_46,"[4, 6, 8, 5, 0, 7, 1, 3, 2, 9]"
9_47,"[6, 8, 7, 1, 2, 3, 0, 5, 4, 9]"
9_48,"[4, 6, 8, 5, 0, 7, 1, 3, 2, 9]"
10_4,"[6, 5, 9, 8, 7, 0, 1, 4, 3, 2]"
10_5,"[6, 8, 7, 2, 9, 0, 1, 3, 4, 5]"
10_9,"[3, 6, 7, 8, 9, 0, 2, 1, 4, 5]"
10_10,"[5, 8, 7, 9, 0, 4, 3, 2, 1, 6]"
10_14,"[6, 5, 8, 9, 2, 7, 0, 1, 3, 4]"
10_19,"[6, 9, 8, 7, 2, 0, 1, 3, 4, 5]"
10_21,"[6, 7, 8, 9, 3, 1, 0, 2, 4, 5]"
10_29,"[7, 0, 5, 8, 9, 2, 1, 6, 4, 3]"
10_31,"[2, 7, 0, 8, 9, 3, 1, 6, 5, 4]"
10_32,"[6, 4, 7, 8, 9, 0, 5, 3, 2, 1]"
10_36,"[7, 6, 5, 8, 3, 2, 9, 0, 4, 1]"
10_40,"[5, 8, 9, 6, 0, 4, 2, 1, 7, 3]"
10_42,"[4, 7, 9, 0, 3, 8, 2, 6, 1, 5]"
10_59,"[8, 0, 4, 6, 7, 9, 3, 1, 5, 2]"
10_61,"[4, 7, 6, 0, 8, 9, 2, 1, 5, 3]"
10_62,"[5, 8, 6, 9, 0, 2, 3, 1, 7, 4]"
10_63,"[4, 8, 7, 0, 3, 9, 5, 2, 1, 6]"
10_64,"[5, 8, 6, 7, 0, 9, 3, 1, 2, 4]"
10_65,"[4, 7, 8, 0, 3, 9, 2, 1, 5, 6]"
10_66,"[5, 4, 9, 7, 0, 1, 3, 6, 2, 8]"
10_67,"[6, 8, 5, 9, 3, 7, 0, 2, 1, 4]"
10_68,"[5, 7, 9, 8, 0, 4, 2, 1, 3, 6]"
10_69,"[6, 8, 0, 9, 3, 1, 5, 2, 7, 4]"
10_74,"[5, 8, 7, 9, 6, 0, 1, 2, 4, 3]"
10_75,"[6, 3, 8, 5, 9, 7, 0, 1, 2, 4]"
10_76,"[5, 8, 9, 6, 7, 0, 4, 3, 2, 1]"
10_77,"[3, 7, 0, 2, 9, 8, 1, 6, 4, 5]"
10_78,"[3, 7, 0, 2, 9, 4, 8, 1, 6, 5]"
10_82,"[4, 8, 9, 6, 7, 0, 1, 5, 2, 3]"
10_84,"[4, 0, 6, 5, 1, 8, 9, 3, 2, 7]"
10_85,"[3, 4, 0, 7, 8, 9, 2, 1, 5, 6]"
10_87,"[5, 6, 0, 7, 3, 9, 8, 4, 1, 2]"
10_89,"[3, 6, 5, 0, 7, 9, 8, 4, 2, 1]"
10_96,"[7, 4, 6, 9, 1, 3, 8, 0, 5, 2]"
10_97,"[5, 8, 6, 2, 9, 3, 0, 4, 1, 7]"
10_98,"[7, 9, 6, 8, 0, 2, 4, 1, 3, 5]"
10_99,"[4, 8, 0, 7, 1, 9, 3, 5, 2, 6]"
10_103,"[4, 8, 5, 0, 7, 9, 3, 2, 1, 6]"
10_106,"[4, 7, 8, 9, 1, 3, 0, 2, 5, 6]"
10_107,"[5, 7, 9, 8, 0, 4, 3, 1, 6, 2]"
10_108,"[4, 9, 8, 7, 1, 2, 0, 3, 5, 6]"
10_112,"[4, 5, 9, 6, 7, 8, 0, 1, 2, 3]"
10_113,"[3, 6, 5, 7, 0, 9, 8, 4, 1, 2]"
10_114,"[8, 9, 6, 0, 1, 3, 2, 4, 5, 7]"
10_120,"[4, 8, 5, 1, 7, 9, 3, 0, 6, 2]"
10_122,"[7, 9, 8, 0, 1, 2, 4, 3, 5, 6]"
10_136,"[8, 0, 4, 6, 7, 9, 3, 1, 5, 2]"
10_139,"[5, 8, 6, 9, 0, 2, 3, 1, 7, 4]"
10_140,"[9, 5, 8, 7, 1, 2, 0, 3, 4, 6]"
10_141,"[5, 4, 9, 7, 0, 1, 3, 6, 2, 8]"
10_142,"[9, 5, 8, 7, 1, 2, 0, 3, 4, 6]"
10_143,"[5, 4, 9, 7, 0, 1, 3, 6, 2, 8]"
10_144,"[4, 7, 8, 0, 3, 9, 2, 1, 5, 6]"
10_145,"[5, 8, 6, 2, 9, 3, 0, 4, 1, 7]"
10_146,"[9, 4, 6, 8, 1, 3, 0, 5, 2, 7]"
10_147,"[3, 6, 5, 7, 0, 9, 8, 4, 1, 2]"
10_158,"[8, 5, 9, 1, 7, 2, 0, 4, 3, 6]"
10_159,"[4, 5, 9, 6, 7, 8, 0, 1, 2, 3]"
10_160,"[9, 8, 6, 1, 7, 0, 2, 4, 3, 5]"
10_163,"[8, 9, 6, 0, 1, 3, 2, 4, 5, 7]"
10_164,"[5, 4, 6, 7, 8, 0, 9, 1, 2, 3]"
10_165,"[3, 8, 6, 0, 9, 1, 4, 5, 2, 7]"
11a_6,"[4, 0, 7, 1, 2, 10, 8, 3, 5, 6, 9, 11]"
11a_8,"[4, 0, 7, 1, 2, 10, 9, 3, 5, 6, 8, 11]"
11a_16,"[3, 0, 6, 1, 9, 2, 4, 10, 5, 8, 7, 11]"
11a_17,"[3, 0, 5, 1, 7, 2, 9, 4, 10, 6, 8, 11]"
11a_21,"[3, 0, 5, 1, 8, 2, 10, 9, 4, 7, 6, 11]"
11a_37,"[3, 0, 7, 1, 10, 9, 2, 4, 6, 5, 8, 11]"
11a_38,"[3, 0, 7, 1, 8, 10, 2, 5, 4, 6, 9, 11]"
11a_43,"[3, 0, 6, 1, 10, 8, 2, 5, 7, 4, 9, 11]"
11a_44,"[3, 0, 7, 1, 10, 8, 2, 5, 6, 4, 9, 11]"
11a_45,"[3, 0, 6, 1, 9, 8, 2, 10, 5, 4, 7, 11]"
11a_46,"[3, 0, 7, 1, 10, 8, 2, 6, 5, 4, 9, 11]"
11a_47,"[3, 0, 7, 1, 10, 8, 2, 9, 6, 4, 5, 11]"
11a_49,"[4, 0, 6, 1, 3, 9, 2, 10, 5, 7, 8, 11]"
11a_57,"[3, 0, 7, 1, 10, 8, 9, 2, 6, 4, 5, 11]"
11a_58,"[3, 0, 7, 1, 10, 9, 8, 2, 6, 4, 5, 11]"
11a_63,"[4, 0, 8, 1, 3, 10, 9, 2, 5, 6, 7, 11]"
11a_69,"[4, 0, 10, 1, 9, 8, 3, 2, 5, 6, 7, 11]"
11a_71,"[4, 0, 8, 9, 1, 2, 3, 10, 6, 7, 5, 11]"
11a_72,"[4, 0, 9, 8, 1, 2, 3, 10, 6, 7, 5, 11]"
11a_73,"[5, 0, 9, 10, 1, 2, 3, 4, 6, 7, 8, 11]"
11a_78,"[5, 0, 7, 9, 1, 2, 3, 6, 10, 4, 8, 11]"
11a_90,"[5, 0, 9, 8, 1, 2, 10, 3, 4, 7, 6, 11]"
11a_91,"[5, 0, 9, 8, 1, 2, 10, 3, 7, 4, 6, 11]"
11a_93,"[5, 0, 10, 8, 1, 2, 9, 3, 7, 6, 4, 11]"
11a_99,"[5, 0, 9, 7, 1, 2, 10, 4, 6, 3, 8, 11]"
11a_100,"[5, 0, 9, 7, 1, 2, 8, 4, 10, 3, 6, 11]"
11a_102,"[5, 0, 6, 9, 1, 3, 2, 10, 4, 7, 8, 11]"
11a_103,"[5, 0, 6, 9, 1, 3, 2, 10, 4, 8, 7, 11]"
11a_106,"[4, 0, 7, 8, 1, 10, 2, 3, 6, 5, 9, 11]"
11a_107,"[4, 0, 8, 7, 1, 10, 2, 3, 6, 5, 9, 11]"
11a_108,"[4, 0, 8, 9, 1, 10, 2, 3, 7, 5, 6, 11]"
11a_109,"[4, 0, 9, 8, 1, 10, 2, 3, 7, 5, 6, 11]"
11a_117,"[4, 0, 8, 6, 1, 10, 2, 9, 3, 7, 5, 11]"
11a_118,"[5, 0, 9, 6, 1, 4, 2, 10, 3, 7, 8, 11]"
11a_123,"[4, 0, 8, 5, 1, 9, 2, 10, 6, 3, 7, 11]"
11a_128,"[5, 0, 6, 9, 1, 7, 2, 4, 10, 3, 8, 11]"
11a_130,"[5, 0, 10, 9, 1, 8, 2, 4, 6, 3, 7, 11]"
11a_132,"[5, 0, 7, 9, 1, 3, 10, 2, 4, 6, 8, 11]"
11a_134,"[4, 0, 8, 6, 1, 10, 3, 2, 7, 5, 9, 11]"
